country,iso3,dimension,was_clamped,clamp_direction,clamp_adjustment,distance_from_lower,distance_from_upper
Chile,CHL,D4,False,NONE,0.13,18.41,8.46
China,CHN,D1,True,LOWER,1.8,0.85,2.07
China,CHN,D2,True,UPPER,-13.3,5.0,0.45
China,CHN,D3,True,UPPER,-27.95,8.39,0.7
China,CHN,D4,True,LOWER,17.2,0.62,0.0
Costa Rica,CRI,D1,True,LOWER,14.22,0.19,13.6
Costa Rica,CRI,D2,False,NONE,-0.3,12.55,11.83
Costa Rica,CRI,D3,False,NONE,-0.42,7.14,16.16
Costa Rica,CRI,D4,True,LOWER,2.11,0.04,23.62
Czech Republic,CZE,D1,True,LOWER,3.36,0.15,3.23
Czech Republic,CZE,D2,True,UPPER,-13.78,5.0,0.45
Czech Republic,CZE,D3,True,UPPER,-7.87,2.17,0.53
Czech Republic,CZE,D4,True,UPPER,-17.5,12.0,0.36
Germany,DEU,D1,True,LOWER,9.21,0.19,5.0
Germany,DEU,D2,True,LOWER,12.07,0.85,2.75
Germany,DEU,D3,True,UPPER,-1.22,4.84,0.47
Germany,DEU,D4,True,LOWER,3.33,0.78,3.61
Denmark,DNK,D1,True,LOWER,4.58,0.78,8.0
Denmark,DNK,D2,True,LOWER,8.16,0.1,16.24
Denmark,DNK,D3,False,NONE,0.21,9.54,0.99
Denmark,DNK,D4,False,NONE,0.05,7.75,3.96
Ecuador,ECU,D1,True,LOWER,2.53,0.76,13.5
Ecuador,ECU,D2,False,NONE,0.13,6.95,21.97
Ecuador,ECU,D3,False,NONE,0.07,20.41,15.57
Ecuador,ECU,D4,False,NONE,0.26,8.38,29.51
Egypt,EGY,D1,True,UPPER,-5.25,4.63,0.93
Egypt,EGY,D2,True,UPPER,-9.34,4.39,0.3
Egypt,EGY,D3,True,UPPER,-13.42,2.06,0.92
Egypt,EGY,D4,True,UPPER,-22.45,7.1,0.93
Spain,ESP,D1,True,LOWER,1.95,0.87,11.3
Spain,ESP,D2,False,NONE,-0.39,6.98,10.52
Spain,ESP,D3,True,LOWER,13.4,0.89,7.71
Spain,ESP,D4,False,NONE,-0.1,0.34,16.74
Ethiopia,ETH,D1,True,LOWER,2.26,0.58,8.12
Ethiopia,ETH,D2,False,NONE,0.13,20.31,20.87
Ethiopia,ETH,D3,True,UPPER,-2.22,23.11,0.49
Ethiopia,ETH,D4,False,NONE,0.5,18.55,13.95
Finland,FIN,D1,True,LOWER,8.9,0.98,12.87
Finland,FIN,D2,True,LOWER,16.97,0.34,17.35
Finland,FIN,D3,False,NONE,-0.31,12.59,1.47
Finland,FIN,D4,False,NONE,0.46,15.4,2.13
France,FRA,D1,False,NONE,-0.04,6.95,6.02
France,FRA,D2,False,NONE,-0.19,5.61,11.57
France,FRA,D3,False,NONE,0.2,8.43,6.19
France,FRA,D4,False,NONE,0.07,8.44,9.43
United Kingdom,GBR,D1,False,NONE,-0.07,2.35,4.38
United Kingdom,GBR,D2,True,LOWER,16.74,0.07,4.25
United Kingdom,GBR,D3,True,UPPER,-11.12,3.98,0.15
United Kingdom,GBR,D4,False,NONE,-0.18,0.92,2.31
Greece,GRC,D1,True,LOWER,9.11,0.56,1.07
Greece,GRC,D2,True,UPPER,-7.19,2.27,0.65
Greece,GRC,D3,True,LOWER,9.12,1.0,4.93
Greece,GRC,D4,True,LOWER,14.47,0.13,4.92
Guatemala,GTM,D1,True,LOWER,11.9,0.28,10.2
Guatemala,GTM,D2,True,LOWER,6.61,0.11,27.88
Guatemala,GTM,D3,False,NONE,0.2,4.9,25.36
Guatemala,GTM,D4,False,NONE,-0.03,8.32,24.67
Hong Kong,HKG,D1,True,LOWER,8.15,0.25,11.6
Hong Kong,HKG,D2,False,NONE,0.26,8.67,6.27
Hong Kong,HKG,D3,True,UPPER,-15.9,9.8,0.07
Hong Kong,HKG,D4,True,UPPER,-3.56,13.38,0.01
Hungary,HUN,D1,True,LOWER,8.02,0.7,11.24
Hungary,HUN,D2,True,LOWER,6.03,0.86,16.69
Hungary,HUN,D3,False,NONE,0.02,0.95,10.71
Hungary,HUN,D4,False,NONE,-0.18,2.64,16.54
Indonesia,IDN,D1,True,LOWER,7.27,0.1,3.01
Indonesia,IDN,D2,True,UPPER,-2.29,4.18,0.35
Indonesia,IDN,D3,True,UPPER,-10.41,4.23,0.46
Indonesia,IDN,D4,True,LOWER,1.31,0.07,3.95
India,IND,D1,False,NONE,-0.19,0.41,2.31
India,IND,D2,True,UPPER,-9.77,3.85,0.77
India,IND,D3,True,UPPER,-13.69,5.5,0.82
India,IND,D4,True,LOWER,12.28,0.77,4.33
Ireland,IRL,D1,True,LOWER,13.92,0.39,12.37
Ireland,IRL,D2,True,LOWER,3.6,0.2,16.88
Ireland,IRL,D3,False,NONE,-0.34,12.41,0.65
Ireland,IRL,D4,False,NONE,0.06,7.07,7.53
Iran,IRN,D1,False,NONE,0.24,3.41,0.03
Iran,IRN,D2,True,LOWER,0.58,0.11,2.93
Iran,IRN,D3,True,UPPER,-17.03,7.03,0.14
Iran,IRN,D4,True,UPPER,-14.06,4.29,0.99
Israel,ISR,D1,True,LOWER,15.35,3.24,9.47
Israel,ISR,D2,False,NONE,0.14,11.22,11.88
Israel,ISR,D3,True,UPPER,-6.43,9.17,3.05
Israel,ISR,D4,False,NONE,0.0,18.33,0.4
Italy,ITA,D1,True,UPPER,-1.11,11.73,0.92
Italy,ITA,D2,False,NONE,0.19,14.8,6.12
Italy,ITA,D3,True,LOWER,11.75,0.49,12.41
Italy,ITA,D4,False,NONE,-0.31,0.63,18.81
Jordan,JOR,D1,True,LOWER,0.64,0.52,8.76
Jordan,JOR,D2,False,NONE,-0.38,10.73,11.13
Jordan,JOR,D3,True,UPPER,-17.65,18.01,0.13
Jordan,JOR,D4,False,NONE,-0.23,8.19,10.75
Japan,JPN,D1,True,LOWER,16.1,0.64,2.15
Japan,JPN,D2,True,LOWER,1.91,0.66,2.78
Japan,JPN,D3,True,UPPER,-10.34,2.54,0.78
Japan,JPN,D4,True,LOWER,14.95,0.62,0.0
Pakistan,PAK,D1,True,LOWER,7.72,0.27,8.27
Pakistan,PAK,D2,False,NONE,0.31,4.25,23.35
Pakistan,PAK,D3,True,UPPER,-7.71,19.53,0.26
Pakistan,PAK,D4,False,NONE,-0.32,12.08,13.33
Peru,PER,D1,True,LOWER,11.62,0.24,6.44
Peru,PER,D2,True,LOWER,8.55,0.42,18.39
Peru,PER,D3,False,NONE,-0.07,15.68,1.11
Peru,PER,D4,False,NONE,-0.14,3.75,17.22
Romania,ROU,D1,False,NONE,-0.17,0.13,7.29
Romania,ROU,D2,False,NONE,-0.25,16.09,6.91
Romania,ROU,D3,False,NONE,0.22,1.01,18.95
Romania,ROU,D4,False,NONE,0.3,0.85,28.64
Russia,RUS,D1,True,LOWER,8.34,0.26,1.0
Russia,RUS,D2,False,NONE,0.02,1.16,1.5
Russia,RUS,D3,True,UPPER,-0.71,4.97,0.15
Russia,RUS,D4,True,LOWER,3.86,0.42,2.57
Singapore,SGP,D1,True,LOWER,10.37,0.63,12.06
Singapore,SGP,D2,True,LOWER,0.47,0.22,12.49
Singapore,SGP,D3,True,UPPER,-19.4,9.63,0.68
Singapore,SGP,D4,True,UPPER,-5.85,14.96,0.13
Mexico,MEX,D1,True,LOWER,9.44,0.42,1.17
Mexico,MEX,D2,False,NONE,-0.26,0.49,4.71
Mexico,MEX,D3,True,LOWER,0.95,0.15,4.14
Mexico,MEX,D4,False,NONE,-0.23,2.21,0.72
Namibia,NAM,D1,False,NONE,-0.42,4.95,5.63
Namibia,NAM,D2,False,NONE,-0.32,3.95,17.31
Namibia,NAM,D3,True,UPPER,-12.16,13.13,0.71
Namibia,NAM,D4,False,NONE,-0.32,7.44,11.38
Nigeria,NGA,D1,True,UPPER,-7.88,4.04,0.77
Nigeria,NGA,D2,False,NONE,-0.28,2.25,1.58
Nigeria,NGA,D3,True,UPPER,-7.91,4.64,0.1
Nigeria,NGA,D4,True,UPPER,-6.07,2.0,0.93
Netherlands,NLD,D1,True,LOWER,4.09,0.3,5.0
Netherlands,NLD,D2,True,LOWER,2.91,0.01,4.31
Netherlands,NLD,D3,True,UPPER,-3.26,2.2,0.69
Netherlands,NLD,D4,False,NONE,-0.28,1.11,4.28
New Zealand,NZL,D1,True,LOWER,2.6,0.88,5.03
New Zealand,NZL,D2,True,LOWER,2.56,0.8,3.1
New Zealand,NZL,D3,False,NONE,-0.49,2.83,0.58
New Zealand,NZL,D4,True,UPPER,-2.45,3.0,0.5
Philippines,PHL,D1,True,LOWER,6.96,0.2,2.35
Philippines,PHL,D2,True,LOWER,2.55,2.27,0.01
Philippines,PHL,D3,True,UPPER,-4.78,5.11,0.27
Philippines,PHL,D4,True,UPPER,-5.26,3.09,0.51
Portugal,PRT,D1,True,LOWER,15.4,0.69,10.25
